 2073861 | 16Bm07 Jan 25 04:04:19 17 | 16BP10 F14066_1  | 11:35:12.3  38:43:12 2000 |  80 | u | 1.06 | 0.90 0.92    17 |   OG970 |   OB970 |P 1 V Q R|
 2073862 | 16Bm07 Jan 25 04:06:24 17 | 16BP10 F14067_1  | 11:40:08.0  38:43:12 2000 |  80 | u | 1.06 | 1.02 1.05    17 |   OG973 |   OB973 |P 1 V Q R|
 2073863 | 16Bm07 Jan 25 04:08:29 17 | 16BP10 F14068_1  | 11:45:03.6  38:43:12 2000 |  80 | u | 1.06 | 0.93 0.95    17 |   OG976 |   OB976 |P 1 V Q R|
 2073864 | 16Bm07 Jan 25 04:10:34 17 | 16BP10 F14069_1  | 11:49:59.2  38:43:12 2000 |  80 | u | 1.06 | 1.02 1.03    17 |   OG979 |   OB979 |P 1 V Q R|
 2073865 | 16Bm07 Jan 25 04:13:29 17 | 16BP10 F14070_1  | 11:54:54.9  38:43:12 2000 |  80 | u | 1.06 | 0.93 0.94    17 |   OG982 |   OB982 |P 1 V Q R|
 2073866 | 16Bm07 Jan 25 04:15:34 17 | 16BP10 F14071_1  | 11:59:50.5  38:43:12 2000 |  80 | u | 1.06 | 0.94 0.96    17 |   OG985 |   OB985 |P 1 V Q R|
 2073867 | 16Bm07 Jan 25 04:17:55 17 | 16BP10 F14355_1  | 11:29:56.5  39:41:24 2000 |  80 | u | 1.08 | 0.94 0.97    18 |  OG1129 |  OB1129 |P 1 V Q R|
 2073868 | 16Bm07 Jan 25 04:20:00 17 | 16BP10 F14356_1  | 11:34:56.2  39:41:24 2000 |  80 | u | 1.07 | 0.89 0.92    17 |  OG1132 |  OB1132 |P 1 V Q R|
 2073869 | 16Bm07 Jan 25 04:22:05 17 | 16BP10 F14357_1  | 11:39:56.0  39:41:24 2000 |  80 | u | 1.07 | 0.88 0.91    18 |  OG1135 |  OB1135 |P 1 V Q R|
 2073870 | 16Bm07 Jan 25 04:24:10 17 | 16BP10 F14358_1  | 11:44:55.8  39:41:24 2000 |  80 | u | 1.07 | 0.89 0.91    17 |  OG1138 |  OB1138 |P 1 V Q R|
 2073871 | 16Bm07 Jan 25 04:26:15 17 | 16BP10 F14359_1  | 11:49:55.5  39:41:24 2000 |  80 | u | 1.07 | 0.95 0.97    17 |  OG1141 |  OB1141 |P 1 V Q R|
 2073872 | 16Bm07 Jan 25 04:28:20 17 | 16BP10 F14360_1  | 11:54:55.3  39:41:24 2000 |  80 | u | 1.07 | 0.94 1.03    17 |  OG1144 |  OB1144 |P 1 V Q R|
 2073873 | 16Bm07 Jan 25 04:30:25 17 | 16BP10 F14361_1  | 11:59:55.0  39:41:24 2000 |  80 | u | 1.07 | 1.01 1.03    17 |  OG1147 |  OB1147 |P 1 V Q R|
 2073874 | 16Bm07 Jan 25 04:32:30 17 | 16BP10 F14641_1  | 11:29:47.8  40:39:36 2000 |  80 | u | 1.10 | 0.94 0.96    18 |  OG1288 |  OB1288 |P 1 V Q R|
 2073875 | 16Bm07 Jan 25 04:34:35 17 | 16BP10 F14642_1  | 11:34:51.9  40:39:36 2000 |  80 | u | 1.09 | 1.01 1.03    17 |  OG1291 |  OB1291 |P 1 V Q R|
 2073876 | 16Bm07 Jan 25 04:36:41 17 | 16BP10 F14643_1  | 11:39:56.0  40:39:36 2000 |  80 | u | 1.09 | 0.92 0.95    17 |  OG1294 |  OB1294 |P 1 V Q R|
 2073877 | 16Bm07 Jan 25 04:38:46 17 | 16BP10 F14644_1  | 11:45:00.1  40:39:36 2000 |  80 | u | 1.09 | 0.98 1.00    17 |  OG1297 |  OB1297 |P 1 V Q R|
 2073878 | 16Bm07 Jan 25 04:42:01 17 | 16BP10 F14645_1  | 11:50:04.2  40:39:36 2000 |  80 | u | 1.09 | 1.10 1.12    17 |  OG1300 |  OB1300 |P 1 V Q R|
 2073879 | 16Bm07 Jan 25 04:44:07 17 | 16BP10 F14646_1  | 11:55:08.2  40:39:36 2000 |  80 | u | 1.08 | 0.99 1.01    18 |  OG1303 |  OB1303 |P 1 V Q R|
 2073880 | 16Bm07 Jan 25 04:46:24 17 | 16BP10 F14923_1  | 11:29:50.9  41:37:48 2000 |  80 | u | 1.12 | 1.11 1.14    18 |  OG1444 |  OB1444 |P 1 V Q R|
 2073881 | 16Bm07 Jan 25 04:49:44 17 | 16BP10 F14924_1  | 11:34:59.5  41:37:48 2000 |  80 | u | 1.12 | 1.06 1.08    18 |  OG1447 |  OB1447 |P 1 V Q R|
 2073882 | 16Bm07 Jan 25 04:51:50 17 | 16BP10 F14065_2  | 11:31:59.7  39:03:12 2000 |  80 | u | 1.10 | 1.02 1.04    19 |   OG968 |   OB968 |P 1 V Q R|
 2073883 | 16Bm07 Jan 25 04:53:55 17 | 16BP10 F14066_2  | 11:36:55.3  39:03:12 2000 |  80 | u | 1.10 | 1.11 1.13    19 |   OG971 |   OB971 |P 1 V Q R|
 2073884 | 16Bm07 Jan 25 04:56:09 17 | 16BP10 F14067_2  | 11:41:51.0  39:03:12 2000 |  80 | u | 1.10 | 1.04 1.05    19 |   OG974 |   OB974 |P 1 V Q R|
 2073885 | 16Bm07 Jan 25 04:58:14 17 | 16BP10 F14068_2  | 11:46:46.6  39:03:12 2000 |  80 | u | 1.09 | 1.04 1.05    18 |   OG977 |   OB977 |P 1 V Q R|
 2073886 | 16Bm07 Jan 25 05:00:20 17 | 16BP10 F14069_2  | 11:51:42.2  39:03:12 2000 |  80 | u | 1.09 | 0.98 1.00    18 |   OG980 |   OB980 |P 1 V Q R|
 2073887 | 16Bm07 Jan 25 05:02:24 17 | 16BP10 F14070_2  | 11:56:37.9  39:03:12 2000 |  80 | u | 1.09 | 0.98 1.00    19 |   OG983 |   OB983 |P 1 V Q R|
 2073888 | 16Bm07 Jan 25 05:04:30 17 | 16BP10 F14071_2  | 12:01:33.5  39:03:12 2000 |  80 | u | 1.09 | 1.14 1.15    19 |   OG986 |   OB986 |P 1 V Q R|
 2073889 | 16Bm07 Jan 25 05:06:34 17 | 16BP10 F14355_2  | 11:31:41.0  40:01:24 2000 |  80 | u | 1.13 | 1.16 1.19    20 |  OG1130 |  OB1130 |P 1 V Q R|
 2073890 | 16Bm07 Jan 25 05:08:39 17 | 16BP10 F14356_2  | 11:36:40.7  40:01:24 2000 |  80 | u | 1.13 | 0.96 0.97    19 |  OG1133 |  OB1133 |P 1 V Q R|
 2073891 | 16Bm07 Jan 25 05:10:45 17 | 16BP10 F14357_2  | 11:41:40.5  40:01:24 2000 |  80 | u | 1.12 | 1.11 1.13    19 |  OG1136 |  OB1136 |P 1 V Q R|
 2073892 | 16Bm07 Jan 25 05:12:51 17 | 16BP10 F14358_2  | 11:46:40.2  40:01:24 2000 |  80 | u | 1.12 | 1.03 1.05    19 |  OG1139 |  OB1139 |P 1 V Q R|
 2073893 | 16Bm07 Jan 25 05:14:56 17 | 16BP10 F14359_2  | 11:51:40.0  40:01:24 2000 |  80 | u | 1.11 | 0.95 0.97    19 |  OG1142 |  OB1142 |P 1 V Q R|
 2073894 | 16Bm07 Jan 25 05:17:01 17 | 16BP10 F14360_2  | 11:56:39.8  40:01:24 2000 |  80 | u | 1.11 | 1.01 1.03    19 |  OG1145 |  OB1145 |P 1 V Q R|
 2073895 | 16Bm07 Jan 25 05:19:07 17 | 16BP10 F14361_2  | 12:01:39.5  40:01:24 2000 |  80 | u | 1.11 | 0.97 1.10    19 |  OG1148 |  OB1148 |P 1 V Q R|
 2073896 | 16Bm07 Jan 25 05:21:16 17 | 16BP10 F14641_2  | 11:31:33.8  40:59:36 2000 |  80 | u | 1.16 | 1.21 1.23    20 |  OG1289 |  OB1289 |P 3 O Q R|
 2073897 | 16Bm07 Jan 25 05:23:21 17 | 16BP10 F14642_2  | 11:36:37.9  40:59:36 2000 |  80 | u | 1.16 | 1.24 1.26    20 |  OG1292 |  OB1292 |P 3 O Q R|
 2073898 | 16Bm07 Jan 25 05:25:27 17 | 16BP10 F14643_2  | 11:41:42.0  40:59:36 2000 |  80 | u | 1.15 | 1.20 1.46    20 |  OG1295 |  OB1295 |P 3 O Q R|
 2073899 | 16Bm07 Jan 25 05:27:32 17 | 16BP10 F14644_2  | 11:46:46.1  40:59:36 2000 |  80 | u | 1.15 | 1.20 1.23    20 |  OG1298 |  OB1298 |P 1 V Q R|
 2073900 | 16Bm07 Jan 25 05:29:37 17 | 16BP10 F14645_2  | 11:51:50.1  40:59:36 2000 |  80 | u | 1.14 | 1.40 1.56    20 |  OG1301 |  OB1301 |P 3 O Q R|
 2073901 | 16Bm07 Jan 25 05:31:43 17 | 16BP10 F14646_2  | 11:56:54.2  40:59:36 2000 |  80 | u | 1.14 | 1.29 1.36    20 |  OG1304 |  OB1304 |P 3 O Q R|
 2073902 | 16Bm07 Jan 25 05:33:48 17 | 16BP10 F14923_2  | 11:31:38.5  41:57:48 2000 |  80 | u | 1.20 | 1.05 1.22    21 |  OG1445 |  OB1445 |P 1 V Q R|
 2073903 | 16Bm07 Jan 25 05:35:54 17 | 16BP10 F14924_2  | 11:36:47.1  41:57:48 2000 |  80 | u | 1.19 | 1.15 1.31    21 |  OG1448 |  OB1448 |P 3 O Q R|
 2073904 | 16Bm07 Jan 25 05:37:59 17 | 16BP10 F14643_2  | 11:41:42.0  40:59:36 2000 |  80 | u | 1.18 | 1.27 1.30    21 |  OG1295 |  OB1295 |P 3 O Q R|
