#   WAVELENGTH        FLUX
#------------- -----------
     3542.900      2.9750
     3543.000      4.1251
     3543.100      4.7400
     3543.200      4.2496
     3543.300      3.7984
     3543.400      4.1525
     3543.500      4.1546
     3543.600      3.6539
     3543.700      3.3495
     3543.800      3.3188
     3543.900      3.1978
     3544.000      2.7592
     3544.100      2.6422
     3544.200      2.6032
     3544.300      2.5538
     3544.400      2.9283
     3544.500      3.0237
     3544.600      2.7489
     3544.700      2.8547
     3544.800      3.3985
     3544.900      4.0458
     3545.000      4.2758
     3545.100      4.2838
     3545.200      4.1860
     3545.300      3.4079
     3545.400      2.5800
     3545.500      2.5958
     3545.600      3.0199
     3545.700      2.7234
     3545.800      2.1158
     3545.900      1.8612
     3546.000      1.9734
     3546.100      2.3670
     3546.200      2.2380
     3546.300      1.6427
     3546.400      1.6688
     3546.500      2.2821
     3546.600      2.6352
     3546.700      2.4752
     3546.800      2.1118
     3546.900      2.0856
     3547.000      2.6104
     3547.100      3.2836
     3547.200      3.5958
     3547.300      2.9278
     3547.400      1.9675
     3547.500      1.9895
     3547.600      3.1269
     3547.700      4.0038
     3547.800      3.4370
     3547.900      2.5690
     3548.000      2.2336
     3548.100      2.2187
     3548.200      2.3866
     3548.300      2.5276
     3548.400      2.7231
     3548.500      2.7078
     3548.600      2.2265
     3548.700      1.9014
     3548.800      2.3633
     3548.900      3.3180
     3549.000      3.4151
     3549.100      2.7068
     3549.200      2.4010
     3549.300      2.4051
     3549.400      2.4746
     3549.500      2.4772
     3549.600      2.5218
     3549.700      2.8395
     3549.800      2.9783
     3549.900      2.6348
     3550.000      2.0245
     3550.100      1.7150
     3550.200      1.9565
     3550.300      2.6420
     3550.400      3.0176
     3550.500      2.5625
     3550.600      2.1303
     3550.700      2.2192
     3550.800      2.3484
     3550.900      2.3034
     3551.000      2.3672
     3551.100      2.4922
     3551.200      2.6281
     3551.300      3.0379
     3551.400      3.2632
     3551.500      2.8193
     3551.600      2.3026
     3551.700      1.9831
     3551.800      2.0984
     3551.900      2.7899
     3552.000      3.0737
     3552.100      2.6518
     3552.200      2.1606
     3552.300      1.8806
     3552.400      1.8430
     3552.500      1.9224
     3552.600      2.1226
     3552.700      2.2836
     3552.800      2.1126
     3552.900      1.8105
     3553.000      1.8146
     3553.100      2.1727
     3553.200      2.3691
     3553.300      2.2154
     3553.400      2.2693
     3553.500      2.7024
     3553.600      3.2616
     3553.700      3.5899
     3553.800      3.1564
     3553.900      2.3738
     3554.000      2.2280
     3554.100      2.7536
     3554.200      2.9399
     3554.300      2.5748
     3554.400      2.3788
     3554.500      2.3536
     3554.600      2.3296
     3554.700      2.4673
     3554.800      2.8542
     3554.900      3.5919
     3555.000      4.0210
     3555.100      3.5437
     3555.200      3.0961
     3555.300      3.1592
     3555.400      3.3055
     3555.500      3.4082
     3555.600      3.5255
     3555.700      3.2734
     3555.800      2.7051
     3555.900      2.0433
     3556.000      1.6863
     3556.100      1.7534
     3556.200      1.8391
     3556.300      1.9184
     3556.400      2.1917
     3556.500      2.7328
     3556.600      3.0601
     3556.700      2.6700
     3556.800      2.4135
     3556.900      2.8563
     3557.000      3.6723
     3557.100      4.0268
     3557.200      3.1469
     3557.300      2.0603
     3557.400      1.6063
     3557.500      1.7016
     3557.600      2.2593
     3557.700      2.6026
     3557.800      2.3222
     3557.900      1.9971
     3558.000      1.7565
     3558.100      1.6337
     3558.200      1.5884
     3558.300      1.5107
     3558.400      1.6799
     3558.500      2.1493
     3558.600      2.5364
     3558.700      2.8524
     3558.800      3.3435
     3558.900      3.3711
     3559.000      2.9852
     3559.100      3.0406
     3559.200      3.1928
     3559.300      3.4075
     3559.400      3.3561
     3559.500      2.6260
     3559.600      2.0455
