2866973 | 23AQ08 Mar 22 05:13:40 23 | C03 sdssrmcfht | 14:08:15.5  53:05:46 2000 |  163 | g | 1.42 | 0.94 0.94   303 |A 5 O D|
2866974 | 23AQ08 Mar 22 05:15:24 23 | C03 sdssrmcfht | 14:14:47.1  54:04:31 2000 |   60 | g | 1.42 | 0.93 0.94   110 |A 5 O D|
2866975 | 23AQ08 Mar 22 05:17:20 23 | C03 sdssrmcfht | 14:21:18.7  53:05:46 2000 |   71 | g | 1.39 | 0.82 0.83   146 |A 5 O D|
2866976 | 23AQ08 Mar 22 05:25:56 23 | C03 sdssrmcfht | 14:14:47.1  52:07:00 2000 |   54 | g | 1.43 | 1.42 1.42   239 |A 5 O D|
2866977 | 23AQ08 Mar 22 05:27:34 23 | C03 sdssrmcfht | 14:08:43.7  52:09:50 2000 |   54 | g | 1.46 | 0.94 0.95   290 |A 5 O D|
2866978 | 23AQ08 Mar 22 05:32:44 23 | C03 sdssrmcfht | 14:08:35.7  54:01:42 2000 |  216 | g | 1.49 | 1.02 1.04  2425 |A 5 O D|
2866979 | 23AQ08 Mar 22 05:37:07 23 | C03 sdssrmcfht | 14:20:58.5  54:01:42 2000 |  216 | g | 1.46 | 1.07 1.08  5757 |A 5 O D|
2866980 | 23AQ08 Mar 22 05:41:30 23 | C03 sdssrmcfht | 14:20:50.6  52:09:50 2000 |  216 | g | 1.45 | 1.05 1.06 14123 |A 5 O D|
2866988 | 23AQ08 Mar 22 20:08:46 23 | H27 2006 AH2   |  4:03:05.9  21:52:14 2000 |  300 | g | 1.59 | 3.43 3.52  5949 |A 3 O D|
2866989 | 23AQ08 Mar 22 20:14:30 23 | H27 2006 AH2   |  4:03:04.7  21:52:14 2000 |  300 | g | 1.63 | 2.55 2.58  6182 |A 3 O D|
2866990 | 23AQ08 Mar 22 20:20:16 23 | H27 2006 AH2   |  4:03:05.0  21:51:54 2000 |  300 | g | 1.69 | 1.48 1.47  4193 |A 3 O D|
2866991 | 23AQ08 Mar 22 20:44:59 23 | H32 K10V95H_00 |  5:20:55.8  17:03:30 2000 |   60 | g | 1.37 | 1.98 1.96   994 |A 1 V Q|
2866992 | 23AQ08 Mar 22 20:46:43 23 | H32 K10V95H_00 |  5:20:56.6  17:03:08 2000 |   60 | g | 1.38 | 2.01 2.01   979 |A 1 V Q|
2866993 | 23AQ08 Mar 22 20:48:28 23 | H32 K10V95H_00 |  5:20:57.9  17:03:23 2000 |   60 | g | 1.39 | 1.61 1.61   999 |A 1 V Q|
2867009 | 23AQ08 Mar 22 22:57:06 23 | H32 P21DC52_00 | 11:38:18.8  -0:18:00 2000 |   90 | g | 1.11 | 1.51 1.50   904 |A 3 O D|
2867010 | 23AQ08 Mar 22 22:59:21 23 | H32 P21DC52_00 | 11:38:19.2  -0:18:22 2000 |   90 | g | 1.10 | 1.26 1.25   916 |A 3 O D|
2867011 | 23AQ08 Mar 22 23:01:35 23 | H32 P21DC52_00 | 11:38:20.1  -0:18:07 2000 |   90 | g | 1.10 | 1.23 1.23   898 |A 3 O D|
2867012 | 23AQ08 Mar 22 23:05:35 23 | H32 P11DBYg_00 | 12:25:45.2  43:31:32 2000 |   40 | g | 1.18 | 0.79 0.83   353 |A 3 O D|
2867013 | 23AQ08 Mar 22 23:08:43 23 | H32 P11DBYg_00 | 12:25:45.7  43:31:11 2000 |   40 | g | 1.17 | 1.31 1.29   396 |A 3 O D|
2867014 | 23AQ08 Mar 22 23:10:08 23 | H32 P11DBYg_00 | 12:25:47.0  43:31:27 2000 |   40 | g | 1.17 | 1.08 1.07   370 |A 3 O D|
2867015 | 23AQ08 Mar 22 23:11:46 23 | H32 P11DBXY_00 | 12:31:47.1  41:37:23 2000 |   40 | g | 1.16 | 1.28 1.29   358 |A 3 O D|
2867016 | 23AQ08 Mar 22 23:13:11 23 | H32 P11DBXY_00 | 12:31:47.7  41:37:01 2000 |   40 | g | 1.16 | 1.21 1.23   390 |A 3 O D|
2867017 | 23AQ08 Mar 22 23:25:01 23 | H32 P11DBXY_00 | 12:31:48.3  41:37:20 2000 |   40 | g | 1.14 | 1.34 1.32   379 |A 3 O D|
2867035 | 23AQ08 Mar 23 02:31:02 23 | D11 M61-1      | 12:21:25.0   4:33:25 2000 |   60 | g | 1.16 | 1.09 1.10   139 |A 3 O D|
2867036 | 23AQ08 Mar 23 02:32:47 23 | D11 M61-1      | 12:21:49.0   4:37:25 2000 |   60 | g | 1.16 | 1.05 1.05   138 |A 3 O D|
